CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
Universidad de Granada,56813,, ,Hombre,2100,2594,3030,3389,3030,2543,1964,1488,1110,790,596,507,1422,581,724,25868
 , , , ,Mujer,3288,3720,4004,3795,3660,2888,2095,1504,1216,839,627,495,1429,586,799,30945
, ,, ,, ,, ,, ,, ,, ,, ,, ,, , 
FAC. BELLAS ARTES,1402,GRADO EN BELLAS ARTES,465,Hombre,20,32,21,20,19,11,11,5,5,6,2,0,6,4,13,175
 , ,GRADO EN BELLAS ARTES, ,Mujer,62,78,42,22,17,7,7,6,6,7,2,2,5,5,22,290
 , ,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,100,Hombre,3,4,2,2,1,1,1,0,2,0,0,0,4,1,3,24
 , ,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES, ,Mujer,11,13,11,6,3,3,6,5,6,0,1,2,5,0,4,76
 , ,LICENCIADO EN BELLAS ARTES,837,Hombre,0,2,25,58,46,50,45,22,17,14,11,5,36,7,18,356
 , ,LICENCIADO EN BELLAS ARTES, ,Mujer,0,1,68,83,77,58,52,29,25,12,10,7,22,7,30,481
FAC. CIENCIAS,5528,DIPLOMADO EN ESTADÍSTICA,51,Hombre,0,0,3,0,2,3,0,1,1,2,1,3,2,3,2,23
 , ,DIPLOMADO EN ESTADÍSTICA, ,Mujer,0,0,3,1,2,1,5,4,0,1,1,1,6,1,2,28
 , ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,249,Hombre,0,0,8,11,12,10,5,7,3,5,3,4,7,4,3,82
 , ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA, ,Mujer,0,0,42,46,24,16,11,7,5,2,4,1,4,5,0,167
 , ,GRADO EN BIOLOGÍA,510,Hombre,71,77,31,16,13,10,6,7,3,2,2,1,1,1,1,242
 , ,GRADO EN BIOLOGÍA, ,Mujer,101,89,40,13,9,4,3,1,2,3,0,2,1,0,0,268
 , ,GRADO EN BIOQUÍMICA,89,Hombre,11,18,1,1,0,0,0,1,0,0,0,0,0,0,0,32
 , ,GRADO EN BIOQUÍMICA, ,Mujer,21,31,2,0,0,0,0,0,0,0,2,0,1,0,0,57
 , ,GRADO EN CIENCIAS AMBIENTALES,268,Hombre,34,37,31,18,13,6,5,3,1,4,3,1,3,2,2,163
 , ,GRADO EN CIENCIAS AMBIENTALES, ,Mujer,36,30,14,8,5,3,6,1,0,0,0,0,1,0,1,105
 , ,GRADO EN ESTADÍSTICA,85,Hombre,9,22,10,7,0,3,0,1,1,0,0,0,1,2,1,57
 , ,GRADO EN ESTADÍSTICA, ,Mujer,8,8,6,1,3,1,0,0,0,0,0,0,0,1,0,28
 , ,GRADO EN FÍSICA,184,Hombre,47,45,19,9,1,7,2,2,0,2,3,0,1,0,1,139
 , ,GRADO EN FÍSICA, ,Mujer,21,14,7,0,3,0,0,0,0,0,0,0,0,0,0,45
 , ,GRADO EN GEOLOGÍA,112,Hombre,20,23,8,6,2,4,2,5,1,0,1,0,1,0,0,73
 , ,GRADO EN GEOLOGÍA, ,Mujer,15,11,5,3,1,0,1,0,1,1,0,1,0,0,0,39
 , ,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,68,Hombre,29,15,1,1,2,3,1,1,1,1,1,0,1,0,1,58
 , ,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL, ,Mujer,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
 , ,GRADO EN INGENIERÍA QUÍMICA,212,Hombre,54,42,12,5,4,2,2,1,0,2,0,0,1,1,0,126
 , ,GRADO EN INGENIERÍA QUÍMICA, ,Mujer,40,32,9,3,1,1,0,0,0,0,0,0,0,0,0,86
 , ,GRADO EN MATEMÁTICAS,197,Hombre,41,42,8,1,3,0,2,1,0,1,1,0,0,1,1,102
 , ,GRADO EN MATEMÁTICAS, ,Mujer,46,36,4,3,4,0,1,0,0,0,0,0,0,0,1,95
 , ,GRADO EN QUÍMICA,176,Hombre,28,33,11,6,0,7,0,0,0,1,0,0,2,0,0,88
 , ,GRADO EN QUÍMICA, ,Mujer,30,30,10,8,1,2,0,1,2,1,2,0,1,0,0,88
 , ,GRADO EN ÓPTICA Y OPTOMETRÍA,249,Hombre,16,21,8,9,7,5,2,3,1,2,1,1,3,0,0,79
 , ,GRADO EN ÓPTICA Y OPTOMETRÍA, ,Mujer,49,59,30,15,4,5,3,1,0,1,0,0,1,0,2,170
 , ,INGENIERO EN ELECTRÓNICA,109,Hombre,0,0,0,1,8,9,10,14,13,2,4,1,16,7,11,96
 , ,INGENIERO EN ELECTRÓNICA, ,Mujer,0,0,0,0,1,0,2,1,4,1,0,1,2,1,0,13
 , ,INGENIERO QUÍMICO,436,Hombre,0,0,14,30,30,34,19,21,18,11,10,14,24,5,4,234
 , ,INGENIERO QUÍMICO, ,Mujer,0,0,23,27,24,22,23,20,15,13,13,8,11,2,1,202
 , ,LICENCIADO EN BIOLOGÍA,837,Hombre,0,1,38,54,39,40,35,26,20,18,10,10,23,8,4,326
 , ,LICENCIADO EN BIOLOGÍA, ,Mujer,0,0,58,74,83,73,57,39,21,24,18,11,44,5,4,511
 , ,LICENCIADO EN BIOQUÍMICA,81,Hombre,0,0,0,8,6,7,3,2,1,2,0,0,5,1,0,35
 , ,LICENCIADO EN BIOQUÍMICA, ,Mujer,0,0,0,4,7,9,11,2,4,2,1,0,3,1,2,46
