CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
Universidad de Granada,56469,, ,Hombre,2092,2390,3144,3250,3073,2592,1949,1488,1131,797,649,482,1396,556,692,25681
, ,, ,, ,, ,, ,, ,, ,, ,, ,, , 
FAC. BELLAS ARTES,1328,GRADO EN BELLAS ARTES,229,Hombre,11,13,8,10,5,4,2,2,4,0,0,1,3,2,5,70
 , ,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,53,Hombre,2,1,2,0,0,0,0,1,0,0,0,1,2,1,2,12
 , ,LICENCIADO EN BELLAS ARTES,1046,Hombre,1,23,52,61,72,47,35,30,20,14,9,15,33,6,25,443
FAC. CIENCIAS,5325,DIPLOMADO EN ESTADÍSTICA,65,Hombre,0,3,0,2,3,2,3,1,2,0,4,0,2,4,2,28
 , ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,386,Hombre,0,8,16,19,19,10,10,8,7,5,7,3,8,3,5,128
 , ,GRADO EN BIOLOGÍA,286,Hombre,66,26,10,11,6,4,3,4,2,0,0,0,2,0,2,136
 , ,GRADO EN BIOQUÍMICA,57,Hombre,17,2,0,0,0,0,0,0,0,0,0,0,1,0,0,20
 , ,GRADO EN CIENCIAS AMBIENTALES,155,Hombre,33,24,12,11,2,1,2,1,2,2,0,1,1,0,4,96
 , ,GRADO EN ESTADÍSTICA,63,Hombre,21,10,7,0,1,0,2,0,0,1,1,0,1,1,0,45
 , ,GRADO EN FÍSICA,102,Hombre,47,11,7,1,4,0,3,0,1,0,0,0,0,1,1,76
 , ,GRADO EN GEOLOGÍA,74,Hombre,26,6,8,2,2,3,3,1,0,0,0,1,0,0,0,52
 , ,GRADO EN INGENIERÍA QUÍMICA,126,Hombre,47,11,6,3,1,0,1,0,0,0,0,0,0,0,1,70
 , ,GRADO EN MATEMÁTICAS,121,Hombre,52,6,3,3,1,2,0,0,0,1,0,0,0,0,2,70
 , ,GRADO EN QUÍMICA,93,Hombre,30,9,4,0,1,0,0,0,0,0,0,1,0,0,0,45
 , ,GRADO EN ÓPTICA Y OPTOMETRÍA,131,Hombre,15,6,7,4,3,1,2,1,1,0,0,0,1,1,1,43
 , ,INGENIERO EN ELECTRÓNICA,95,Hombre,0,0,0,4,4,5,12,15,3,3,4,1,15,4,11,81
 , ,INGENIERO QUÍMICO,494,Hombre,0,19,26,32,35,22,29,23,15,14,15,4,27,6,4,271
 , ,LICENCIADO EN BIOLOGÍA,1040,Hombre,0,42,61,44,55,52,35,31,22,16,13,12,25,6,4,418
 , ,LICENCIADO EN BIOQUÍMICA,88,Hombre,0,0,1,4,4,11,6,3,3,2,2,1,5,1,0,43
 , ,LICENCIADO EN CIENCIAS AMBIENTALES,713,Hombre,0,30,46,43,53,47,52,30,21,23,9,8,13,9,7,391
 , ,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS,39,Hombre,0,0,1,0,0,4,2,0,1,2,3,0,1,1,2,17
 , ,LICENCIADO EN FÍSICA,387,Hombre,1,25,23,34,42,31,19,24,19,14,6,8,29,8,4,287
 , ,LICENCIADO EN GEOLOGÍA,172,Hombre,0,5,11,13,19,11,6,11,5,6,6,2,13,4,4,116
 , ,LICENCIADO EN MATEMÁTICAS,268,Hombre,0,17,26,27,16,20,10,11,8,3,3,1,8,5,2,157
 , ,LICENCIADO EN QUÍMICA,370,Hombre,0,7,20,9,18,18,16,13,12,10,10,6,29,3,4,175
FAC. CC. ACTV.FISICA Y DEPORTE,1373,GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,187,Hombre,66,12,17,25,9,6,4,2,1,0,1,1,2,2,1,149
 , ,LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,1186,Hombre,2,105,146,180,179,124,62,47,28,22,21,13,27,5,3,964
FAC. CC. EDUCACION,5621,DIPLOMADO EN EDUCACIÓN SOCIAL,216,Hombre,0,3,9,5,8,6,5,1,4,3,3,1,5,0,1,54
 , ,GRADO EN EDUCACIÓN SOCIAL,124,Hombre,5,2,0,3,3,2,2,2,2,1,1,0,0,0,2,25
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL,293,Hombre,1,1,0,0,2,1,2,0,1,0,0,0,0,0,0,8
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA,686,Hombre,113,59,30,27,17,12,5,5,6,0,0,4,10,4,1,293
 , ,GRADO EN PEDAGOGÍA,125,Hombre,5,1,2,3,2,0,0,0,1,0,0,0,1,0,2,17
 , ,LICENCIADO EN PEDAGOGÍA,837,Hombre,0,5,15,27,24,25,21,16,13,6,7,4,8,2,5,178
 , ,LICENCIADO EN PSICOPEDAGOGÍA,604,Hombre,0,0,0,20,20,18,14,18,9,3,2,4,18,7,6,139
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE,210,Hombre,0,0,0,1,3,1,4,2,2,2,0,2,0,1,1,19
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL,218,Hombre,0,0,6,4,5,4,4,2,0,3,3,1,1,2,3,38
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA,405,Hombre,1,38,51,34,29,32,25,22,10,14,10,1,14,6,2,289
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL,444,Hombre,0,1,6,3,1,1,2,1,2,4,0,0,4,1,0,26
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL,255,Hombre,0,10,20,20,16,10,6,11,6,8,6,5,5,3,2,128
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA,744,Hombre,0,20,31,35,19,16,19,12,11,4,7,11,22,7,2,216
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA,460,Hombre,0,8,10,12,12,13,13,10,12,10,8,5,19,4,1,137
FAC. CC. ECONOMICAS EMPRESAR.,6401,DIPLOMADO EN CIENCIAS EMPRESARIALES,1312,Hombre,0,26,73,78,69,76,57,54,55,22,25,19,46,13,12,625
 , ,DIPLOMADO EN TURISMO,551,Hombre,0,8,31,29,28,15,9,12,10,6,2,2,7,0,2,161
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,285,Hombre,54,22,17,8,3,1,0,1,1,0,3,0,0,0,4,114
 , ,GRADO EN ECONOMÍA,259,Hombre,71,45,12,6,5,4,4,1,1,0,0,0,0,0,1,150
 , ,GRADO EN FINANZAS Y CONTABILIDAD,130,Hombre,18,11,4,3,4,2,4,2,1,1,1,0,1,1,2,55
 , ,GRADO EN MARKETING E INVESTIGACIÓN DE MERCADOS,131,Hombre,21,12,8,5,8,3,0,1,1,0,1,0,1,0,2,63
 , ,GRADO EN TURISMO,143,Hombre,12,4,8,5,4,2,1,0,3,0,0,1,0,1,0,41
 , ,LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,1967,Hombre,0,66,119,143,137,104,88,50,50,26,15,15,42,8,10,873
 , ,LICENCIADO EN ECONOMÍA,1401,Hombre,0,27,84,105,91,98,98,50,45,31,28,17,42,3,2,721
 , ,LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO,222,Hombre,0,0,3,7,14,17,16,12,11,11,5,1,8,4,2,111
