CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , , , ,Mujer,3288,3720,4004,3795,3660,2888,2095,1504,1216,839,627,495,1429,586,799,30945
, ,, ,, ,, ,, ,, ,, ,, ,, ,, , 
 , ,GRADO EN BELLAS ARTES, ,Mujer,62,78,42,22,17,7,7,6,6,7,2,2,5,5,22,290
 , ,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES, ,Mujer,11,13,11,6,3,3,6,5,6,0,1,2,5,0,4,76
 , ,LICENCIADO EN BELLAS ARTES, ,Mujer,0,1,68,83,77,58,52,29,25,12,10,7,22,7,30,481
 , ,DIPLOMADO EN ESTADÍSTICA, ,Mujer,0,0,3,1,2,1,5,4,0,1,1,1,6,1,2,28
 , ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA, ,Mujer,0,0,42,46,24,16,11,7,5,2,4,1,4,5,0,167
 , ,GRADO EN BIOLOGÍA, ,Mujer,101,89,40,13,9,4,3,1,2,3,0,2,1,0,0,268
 , ,GRADO EN BIOQUÍMICA, ,Mujer,21,31,2,0,0,0,0,0,0,0,2,0,1,0,0,57
 , ,GRADO EN CIENCIAS AMBIENTALES, ,Mujer,36,30,14,8,5,3,6,1,0,0,0,0,1,0,1,105
 , ,GRADO EN ESTADÍSTICA, ,Mujer,8,8,6,1,3,1,0,0,0,0,0,0,0,1,0,28
 , ,GRADO EN FÍSICA, ,Mujer,21,14,7,0,3,0,0,0,0,0,0,0,0,0,0,45
 , ,GRADO EN GEOLOGÍA, ,Mujer,15,11,5,3,1,0,1,0,1,1,0,1,0,0,0,39
 , ,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL, ,Mujer,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
 , ,GRADO EN INGENIERÍA QUÍMICA, ,Mujer,40,32,9,3,1,1,0,0,0,0,0,0,0,0,0,86
 , ,GRADO EN MATEMÁTICAS, ,Mujer,46,36,4,3,4,0,1,0,0,0,0,0,0,0,1,95
 , ,GRADO EN QUÍMICA, ,Mujer,30,30,10,8,1,2,0,1,2,1,2,0,1,0,0,88
 , ,GRADO EN ÓPTICA Y OPTOMETRÍA, ,Mujer,49,59,30,15,4,5,3,1,0,1,0,0,1,0,2,170
 , ,INGENIERO EN ELECTRÓNICA, ,Mujer,0,0,0,0,1,0,2,1,4,1,0,1,2,1,0,13
 , ,INGENIERO QUÍMICO, ,Mujer,0,0,23,27,24,22,23,20,15,13,13,8,11,2,1,202
 , ,LICENCIADO EN BIOLOGÍA, ,Mujer,0,0,58,74,83,73,57,39,21,24,18,11,44,5,4,511
 , ,LICENCIADO EN BIOQUÍMICA, ,Mujer,0,0,0,4,7,9,11,2,4,2,1,0,3,1,2,46
 , ,LICENCIADO EN CIENCIAS AMBIENTALES, ,Mujer,0,0,23,32,55,33,26,29,23,18,9,2,12,1,1,264
 , ,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS, ,Mujer,0,0,0,3,2,3,3,2,0,2,0,1,5,1,1,23
 , ,LICENCIADO EN FÍSICA, ,Mujer,0,0,15,7,15,16,5,6,4,3,2,3,9,0,0,85
 , ,LICENCIADO EN GEOLOGÍA, ,Mujer,0,0,5,10,2,4,4,5,2,1,1,3,8,0,0,45
 , ,LICENCIADO EN MATEMÁTICAS, ,Mujer,0,1,17,19,16,8,6,8,4,5,1,0,4,2,0,91
 , ,LICENCIADO EN QUÍMICA, ,Mujer,0,0,8,20,13,11,14,9,12,11,8,8,24,10,1,149
 , ,GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE, ,Mujer,27,28,6,7,5,0,1,1,1,0,0,0,0,0,0,76
 , ,LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE, ,Mujer,0,0,34,38,27,20,16,10,6,7,3,3,3,3,0,170
 , ,DIPLOMADO EN EDUCACIÓN SOCIAL, ,Mujer,0,0,24,6,7,15,3,9,4,2,5,3,3,1,4,86
 , ,GRADO EN EDUCACIÓN SOCIAL, ,Mujer,25,41,10,32,31,24,8,11,3,6,2,1,4,1,3,202
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL, ,Mujer,84,136,83,53,65,43,15,15,10,8,9,1,20,6,5,553
 , ,GRADO EN MAESTRO DE EDUCACIÓN PRIMARIA (BILINGÜE), ,Mujer,31,8,3,3,1,0,0,1,0,1,0,3,1,1,0,53
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA, ,Mujer,163,254,92,58,52,32,18,16,9,5,4,6,14,9,5,737
 , ,GRADO EN PEDAGOGÍA, ,Mujer,33,62,39,18,8,6,5,1,1,1,0,0,2,0,1,177
 , ,LICENCIADO EN PEDAGOGÍA, ,Mujer,0,0,50,107,111,99,61,48,28,16,13,13,20,7,8,581
 , ,LICENCIADO EN PSICOPEDAGOGÍA, ,Mujer,0,0,1,56,81,67,43,33,30,11,22,13,43,16,15,431
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE, ,Mujer,0,0,14,15,13,15,7,5,7,5,4,3,13,4,2,107
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL, ,Mujer,0,0,22,17,11,12,10,5,4,4,3,1,6,5,1,101
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA, ,Mujer,0,0,13,7,8,8,3,8,4,6,1,2,6,2,1,69
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL, ,Mujer,0,0,74,27,26,24,16,11,11,11,6,9,20,7,9,251
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL, ,Mujer,0,0,15,15,21,6,6,3,5,5,5,1,7,3,1,93
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA, ,Mujer,0,0,88,44,33,25,31,26,15,14,8,10,24,8,6,332
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA, ,Mujer,0,1,40,30,34,23,19,10,8,6,9,4,17,11,10,222
 , ,DIPLOMADO EN CIENCIAS EMPRESARIALES, ,Mujer,0,0,52,82,61,54,48,41,33,27,21,21,46,17,15,518
 , ,DIPLOMADO EN TURISMO, ,Mujer,0,0,36,65,52,31,28,21,9,13,14,7,14,4,0,294
