Año,Alumnos,Varones,Mec,Mujeres,Ordinarios
1996,57719,25401,9756,32318,28519
1997,58658,25744,8113,32914,32938
1998,59503,25719,7747,33784,34216
1999,59651,25414,8295,34237,34477
2000,58946,25102,8801,33844,34404
2001,57844,25294,8933,32550,34979
2002,56372,24745,8816,31627,34113
2003,55732,24365,9084,31367,33844
2004,55651,24646,9182,31005,33920
2005,55715,24772,9040,30943,34467
2006,56820,24993,9909,31827,34531
2007,56131,24746,10371,31385,33739
2008,56036,25028,10012,31008,34287
2009,56343,25350,10705,30993,33878
